,0,1,2,3,4,5,6,7,8,9,10
22,250.212295532,363.743041992,448.144714355,266.61328125,292.989074707,228.617782593,294.747406006,398.748199463,269.713562012,279.944458008,281.224892356
23,285.048614502,246.92338562,388.85760498,279.830322266,361.239959717,290.668731689,244.292922974,232.646057129,244.495010376,361.660522461,266.878466519
24,314.914581299,241.383850098,302.981750488,270.625518799,229.297012329,241.147094727,233.236175537,371.6796875,238.948257446,182.069213867,238.753012917
25,264.811584473,248.687454224,289.36050415,329.737670898,382.969573975,206.695007324,250.860794067,302.372436523,308.729766846,275.099517822,259.938573664
26,216.555374146,216.425018311,232.088348389,294.490325928,242.627212524,293.49520874,237.212722778,255.970855713,354.100219727,306.725891113,240.881016124
27,316.383880615,189.991546631,252.765853882,273.928894043,319.293487549,255.275131226,207.950073242,202.32572937,247.560928345,259.156982422,229.51204612
28,251.580505371,267.001647949,255.426483154,362.434356689,282.502868652,345.397247314,253.617156982,239.813598633,249.406295776,259.338165283,251.501665982
29,158.119644165,343.226379395,389.452484131,364.95223999,260.972015381,252.07623291,423.917907715,293.533905029,196.772766113,243.181594849,266.018651789
30,275.404174805,334.180114746,306.359527588,308.075805664,447.735900879,251.768081665,313.665283203,215.78465271,200.629760742,338.739227295,272.031139027
31,268.554443359,315.143798828,349.800994873,287.772125244,257.762390137,255.584320068,261.219726562,239.065795898,206.655639648,347.330871582,253.5354642
32,356.228118896,426.328277588,312.12387085,251.246444702,184.770095825,248.302871704,327.510772705,199.412567139,361.463043213,230.082305908,263.406215321
33,276.417572021,273.918731689,230.192352295,331.492828369,274.277923584,196.656967163,272.967346191,288.773468018,249.803390503,250.865280151,240.487805453
34,230.120773315,199.022720337,298.268096924,282.465332031,429.47442627,287.286712646,228.047927856,241.242492676,346.322662354,297.334411621,258.144141457
35,273.469177246,315.599639893,241.406692505,291.630371094,263.929199219,283.680419922,210.636657715,197.456604004,322.233337402,267.527496338,242.506326849
36,228.148178101,313.847259521,283.15725708,328.440917969,281.039215088,239.082489014,406.053588867,343.146942139,307.260742188,291.704803467,274.716490312
37,222.529830933,242.224227905,178.771377563,224.127059937,169.817001343,253.146377563,290.970672607,268.365905762,317.656921387,212.949996948,216.414488359
38,206.813461304,286.653137207,271.845397949,211.106933594,293.635284424,394.615692139,265.298309326,364.047943115,249.608840942,294.710510254,258.030500932
39,275.440826416,466.642181396,305.451477051,216.61315918,209.580047607,261.090057373,337.135162354,373.204437256,238.282531738,286.964324951,270.036745938
40,248.106719971,213.009078979,331.699401855,251.895492554,410.12890625,244.955505371,240.829956055,391.603546143,277.071990967,195.064071655,254.942242709
41,255.007644653,246.999893188,239.221694946,269.360656738,250.507369995,317.386962891,300.697906494,242.911895752,240.802764893,200.409393311,233.027834806
42,280.713531494,342.120452881,258.779205322,327.669586182,284.762969971,314.755310059,292.210388184,223.101623535,220.340499878,226.02645874,251.861820568
43,310.378875732,205.452728271,250.582885742,223.753631592,264.007568359,289.013153076,208.824996948,273.109924316,242.225891113,286.556243896,232.17326355
44,282.140411377,183.905776978,274.466552734,364.992462158,260.494750977,278.042724609,277.00088501,227.464248657,194.836090088,268.94354248,237.480676824
45,243.229141235,226.884384155,422.418334961,289.048431396,258.854827881,278.613739014,273.840759277,291.296539307,349.498413086,222.874130249,259.687154597
46,285.328460693,253.855499268,172.454666138,271.492248535,272.848114014,236.435821533,170.14982605,236.07170105,266.905944824,302.429595947,224.361079823
